Forum,Rok,Liczba postów
wiara.pl,2003,6074
radiokatolik.pl,2004,78
wiara.pl,2004,23135
radiokatolik.pl,2005,280
wiara.pl,2005,63624
radiokatolik.pl,2006,1658
wiara.pl,2006,81695
radiokatolik.pl,2007,3705
wiara.pl,2007,78085
radiokatolik.pl,2008,4689
wiara.pl,2008,73741
radiokatolik.pl,2009,6372
wiara.pl,2009,77510
radiokatolik.pl,2010,11745
wiara.pl,2010,77856
radiokatolik.pl,2011,15166
wiara.pl,2011,65056
radiokatolik.pl,2012,27141
wiara.pl,2012,69866
radiokatolik.pl,2013,35475
wiara.pl,2013,54717
radiokatolik.pl,2014,33615
wiara.pl,2014,50680
radiokatolik.pl,2015,50769
wiara.pl,2015,36079
Z Chrystusem,2015,1694
radiokatolik.pl,2016,40074
wiara.pl,2016,49090
Z Chrystusem,2016,4827
radiokatolik.pl,2017,28180
wiara.pl,2017,40833
Z Chrystusem,2017,9114
radiokatolik.pl,2018,31016
wiara.pl,2018,31873
Z Chrystusem,2018,17126
radiokatolik.pl,2019,31445
wiara.pl,2019,26441
Z Chrystusem,2019,18411
radiokatolik.pl,2020,25075
wiara.pl,2020,17065
Z Chrystusem,2020,30018
Dolina Modlitwy,2021,3314
radiokatolik.pl,2021,16994
wiara.pl,2021,13352
Z Chrystusem,2021,34267
Dolina Modlitwy,2022,12048
radiokatolik.pl,2022,6620
wiara.pl,2022,7860
Z Chrystusem,2022,34501
Dolina Modlitwy,2023,9088
radiokatolik.pl,2023,2948
wiara.pl,2023,9084
Z Chrystusem,2023,44534
Dolina Modlitwy,2024,5869
radiokatolik.pl,2024,3198
wiara.pl,2024,8023
Z Chrystusem,2024,46164
Dolina Modlitwy,2025,3500
radiokatolik.pl,2025,1525
wiara.pl,2025,6445
Z Chrystusem,2025,37526
